postingDate|amount|category|narrative|runningBalance
2026-08-01|48200.00|Income / Salary|SALARY DEPOSIT - EMPLOYER PAYROLL|50075.40
2026-08-01|-8200.00|Fixed Commitments|DEBIT ORDER - HOME LOAN REPAYMENT|41875.40
2026-08-01|-4350.00|Fixed Commitments|DEBIT ORDER - VEHICLE FINANCE|37525.40
2026-08-02|-135.00|Bank Fees|MONTHLY ACCOUNT ADMIN FEE|37390.40
2026-08-02|-2650.00|Debit Order|DEBIT ORDER - MEDICAL AID|34740.40
2026-08-02|-2000.00|Transfers|TRANSFER TO SAVINGS POCKET|32740.40
2026-08-02|-1245.60|Groceries|CARD PURCHASE - WOOLWORTHS|31494.80
2026-08-03|-680.00|Debit Order|DEBIT ORDER - LIFE INSURANCE|30814.80
2026-08-03|-850.00|Transport|CARD PURCHASE - FUEL STATION|29964.80
2026-08-03|-159.00|Subscriptions|SUBSCRIPTION - STREAMING SERVICE|29805.80
2026-08-04|-799.00|Debit Order|DEBIT ORDER - CELLPHONE CONTRACT|29006.80
2026-08-04|-1500.00|Transfers|TRANSFER TO BENEFICIARY - FAMILY SUPPORT|27506.80
2026-08-04|-245.00|Discretionary Spending|CARD PURCHASE - RESTAURANT|27261.80
2026-08-05|-499.00|Debit Order|DEBIT ORDER - GYM MEMBERSHIP|26762.80
2026-08-05|-1000.00|Cash Withdrawal|ATM CASH WITHDRAWAL|25762.80
2026-08-05|-35.00|Bank Fees|CASH WITHDRAWAL FEE|25727.80
2026-08-06|-1120.00|Debit Order|DEBIT ORDER - SHORT-TERM INSURANCE|24607.80
2026-08-06|-689.00|Online Purchases|ONLINE PURCHASE - TAKEALOT|23918.80
2026-08-07|-58.00|Discretionary Spending|CARD PURCHASE - COFFEE SHOP|23860.80
2026-08-07|-980.25|Groceries|CARD PURCHASE - WOOLWORTHS|22880.55
2026-08-08|-92.00|Transport|CARD PURCHASE - E-TOLL / TRANSPORT|22788.55
2026-08-09|-320.00|Discretionary Spending|CARD PURCHASE - FAST FOOD|22468.55
2026-08-09|-410.15|Groceries|CARD PURCHASE - WOOLWORTHS|22058.40
2026-08-10|-6499.00|Once-off Large Purchase|CARD PURCHASE - FURNITURE STORE (ONCE-OFF)|15559.40
2026-08-10|-59.99|Subscriptions|SUBSCRIPTION - MUSIC APP|15499.41
2026-08-11|-129.00|Online Purchases|ONLINE PURCHASE - APP STORE|15370.41
2026-08-12|-880.00|Transport|CARD PURCHASE - FUEL STATION|14490.41
2026-08-12|-140.00|Discretionary Spending|CARD PURCHASE - COFFEE SHOP|14350.41
2026-08-13|689.00|Refund / Reversal|REFUND - ONLINE PURCHASE RETURN|15039.41
2026-08-13|-600.00|Cash Withdrawal|ATM CASH WITHDRAWAL|14439.41
2026-08-13|-22.00|Bank Fees|CASH WITHDRAWAL FEE|14417.41
2026-08-14|-1620.80|Groceries|CARD PURCHASE - WOOLWORTHS|12796.61
2026-08-14|-410.00|Discretionary Spending|CARD PURCHASE - RESTAURANT|12386.61
2026-08-15|-1899.00|Uncategorised / Unusual|CARD PURCHASE - INTERNATIONAL ONLINE (UNRECOGNISED MERCHANT)|10487.61
2026-08-15|-92.00|Transport|CARD PURCHASE - E-TOLL / TRANSPORT|10395.61
2026-08-16|-10.00|Bank Fees|IMMEDIATE PAYMENT FEE|10385.61
2026-08-16|-305.40|Groceries|CARD PURCHASE - WOOLWORTHS|10080.21
2026-08-17|-49.00|Subscriptions|SUBSCRIPTION - CLOUD STORAGE|10031.21
2026-08-18|-1500.00|Transfers|TRANSFER TO BENEFICIARY - FAMILY SUPPORT|8531.21
2026-08-19|-905.00|Transport|CARD PURCHASE - FUEL STATION|7626.21
2026-08-19|-89.00|Discretionary Spending|CARD PURCHASE - COFFEE SHOP|7537.21
2026-08-20|-1240.00|Online Purchases|ONLINE PURCHASE - CLOTHING RETAILER|6297.21
2026-08-21|-675.00|Discretionary Spending|CARD PURCHASE - BAR / NIGHT OUT|5622.21
2026-08-21|-1130.75|Groceries|CARD PURCHASE - WOOLWORTHS|4491.46
2026-08-22|-92.00|Transport|CARD PURCHASE - E-TOLL / TRANSPORT|4399.46
2026-08-22|499.00|Refund / Reversal|REVERSAL - DUPLICATE DEBIT ORDER|4898.46
2026-08-23|-52.00|Discretionary Spending|CARD PURCHASE - COFFEE SHOP|4846.46
2026-08-23|-268.90|Groceries|CARD PURCHASE - WOOLWORTHS|4577.56
2026-08-24|-99.00|Subscriptions|SUBSCRIPTION - NEWS DIGITAL|4478.56
2026-08-25|-29.00|Bank Fees|CASH WITHDRAWAL FEE|3649.56
2026-08-25|-800.00|Cash Withdrawal|ATM CASH WITHDRAWAL|3678.56
2026-08-26|-870.00|Transport|CARD PURCHASE - FUEL STATION|2779.56
2026-08-26|-298.00|Discretionary Spending|CARD PURCHASE - RESTAURANT|2481.56
2026-08-27|-560.00|Online Purchases|ONLINE PURCHASE - ELECTRONICS|1921.56
2026-08-28|-1425.30|Groceries|CARD PURCHASE - WOOLWORTHS|496.26
2026-08-28|-115.00|Discretionary Spending|CARD PURCHASE - FAST FOOD|381.26
2026-08-29|-2500.00|Uncategorised / Unusual|CARD PURCHASE - GAMING / CRYPTO PLATFORM|-2118.74
2026-08-29|-92.00|Transport|CARD PURCHASE - E-TOLL / TRANSPORT|-2210.74
2026-08-30|-60.00|Bank Fees|OVERDRAWN / LOW-BALANCE NOTICE FEE|-2270.74
